,profile_name,subscriber,view,video,country,category,since,last_subscriber_30,last_view_30,min_month_earnings,max_month_earnings,2016_views,2017_views,2018_views,2019_views,2020_views,2021_views,2022_views,2023_views,2024_views,2016_subscribers,2017_subscribers,2018_subscribers,2019_subscribers,2020_subscribers,2021_subscribers,2022_subscribers,2023_subscribers,2024_subscribers
103,متع عقلك | حقائق,3670000,391660187,918,Saudi Arabia (SA),Pets & Animals,2016,20000,3734161,1400,8400,12094913,91692718,92160467,48006924,40229394,30571883,10489486,36799388,29615014,205404,616535,1069457,668604,430000,220000,260000,40000,160000
104,Anas Action   أنس آكشن,3640000,344643092,123,Saudi Arabia (SA),general,2016,50000,5331957,2000,12000,0,0,0,0,0,0,74617062,146247218,123778812,0,0,0,0,0,0,1170000,1360000,1110000
105,عائلة ميرو | Mero Family   اميره و عبدالرحمن,3660000,1605877778,583,Saudi Arabia (SA),People & Blogs,2020,90000,53006979,19900,119000,0,0,0,0,0,24248360,316176601,501395078,764057739,0,0,0,0,0,215000,885000,980000,1580000
106,Hanody Awesome !,3630000,410755803,786,Saudi Arabia (SA),People & Blogs,2011,10000,2132816,799,4800,0,15580534,35416353,58766484,111550015,85476819,38052396,41690016,24223186,0,376900,483338,609762,1000000,670000,160000,140000,190000
107,Nero Gamer55 L نيرو قيمر55,3620000,661794560,851,Saudi Arabia (SA),Gaming,2014,0,678943,254,1530,32029504,92006235,142890037,124243694,152406139,55999133,36745913,12514803,12959102,347844,604906,904275,702975,540000,320000,110000,30000,60000
108,Iman Moshaya,3600000,1641625222,132,Saudi Arabia (SA),general,2016,10000,4856660,1820,10900,0,0,0,0,0,839228059,518097432,187517712,96782019,0,0,0,0,0,2640000,620000,190000,150000
109,تكسلر | Txlir,3590000,119439618,233,Saudi Arabia (SA),Entertainment,2012,0,24421,9,54,31777987,62908034,136798885,95185249,70754276,48276985,12404537,2235685,340902020,596367,689779,1024367,609487,420000,270000,20000,20000,20000
110,Every Day Surah كل يوم سورة,3590000,346546903,5652,Saudi Arabia (SA),Music,2013,0,1333275,499,3000,0,0,0,108726067,96560114,17835852,86715671,46189348,26191555,0,0,0,1080000,820000,900000,420000,270000,100000
111,Dv Lz Sta Tio N,3580000,636355694,2162,Saudi Arabia (SA),Gaming,2011,0,2130392,798,4790,262081193,89009181,84043789,61657909,50927617,25248867,1553947,61431390,102257035,1594831,638549,655278,391342,0,140000,40000,80000,120000
112,Nabil Gaming Tv,3560000,1630514422,1803,Saudi Arabia (SA),Gaming,2015,10000,8321350,3120,18700,0,17367173,61232043,239710318,616403830,309950406,100154647,91602686,194093319,0,66171,186120,605709,1682000,540000,120000,100000,260000
113,Abdulah Hafs,3520000,581218840,162,Saudi Arabia (SA),People & Blogs,2012,0,550089,206,1240,0,0,0,0,0,0,0,340855739,240363101,0,0,0,0,0,0,0,3520000,0
114,دربحه Drb7h L,3520000,476788507,622,Saudi Arabia (SA),Music,2013,20000,3356161,1260,7550,0,0,0,0,0,246126946,95283015,79826211,55552335,0,0,0,0,0,2140000,450000,350000,580000
