,profile_name, subscriber , view , video ,country,category,since, last_subscriber_30 , last_view_30 , min_month_earnings , max_month_earnings , 2016_views , 2017_views , 2018_views , 2019_views , 2020_views , 2021_views , 2022_views , 2023_views , 2024_views , 2016_subscribers , 2017_subscribers , 2018_subscribers , 2019_subscribers , 2020_subscribers , 2021_subscribers , 2022_subscribers , 2023_subscribers , 2024_subscribers 
596,Arab Flex," 679,000.00 "," 120,056.00 ", -   ,Saudi Arabia (SA),Entertainment,2015, -   , -   , -   , -   ," 11,253,731.00 "," 22,302,718.00 "," 34,602,802.00 "," 21,413,689.00 "," 13,913,352.00 "," 17,080,340.00 "," 21,560,325.00 "," 142,006,901.00 ", -   ," 52,929.00 "," 107,760.00 "," 148,639.00 "," 175,672.00 "," 47,000.00 "," 51,000.00 "," 104,000.00 ", -   ," 8,000.00 "
597,Tech Mab | ماب التقني," 678,000.00 "," 71,924,118.00 ", 436.00 ,Saudi Arabia (SA),Science & Technology,2011, -   ," 33,963.00 ", 12.00 , 76.00 ," 21,702,095.00 "," 11,849,848.00 "," 11,823,450.00 "," 12,002,088.00 "," 4,559,823.00 "," 4,792,657.00 "," 3,683,711.00 "," 864,978.00 "," 645,468.00 "," 307,130.00 "," 118,645.00 "," 115,196.00 "," 93,029.00 "," 25,000.00 "," 18,000.00 "," 8,000.00 "," 3,000.00 "," 4,000.00 "
598,Majedalesa | ماجد العيسى," 677,000.00 "," 261,365,770.00 ", 16.00 ,Saudi Arabia (SA),Music,2015, -   , -   , -   , -   ," 69,910,625.00 "," 47,511,058.00 "," 31,351,944.00 "," 24,086,912.00 "," 4,820,964.00 "," 40,236,164.00 "," 20,106,252.00 "," 10,519,981.00 "," 12,821,870.00 "," 319,133.00 "," 148,692.00 "," 89,268.00 "," 49,907.00 "," 6,000.00 "," 39,000.00 "," 12,000.00 "," 6,000.00 "," 7,000.00 "
599,Abo Alrood2," 675,000.00 ", -   , -   ,Saudi Arabia (SA),Gaming,2021," (1,000.00)", -   , -   , -   , -   , -   , -   , -   , -   ," 17,146,448.00 "," 47,075,791.00 "," 64,222,239.00 ", -   , -   , -   , -   , -   , -   ," 396,000.00 "," 237,000.00 "," 48,000.00 "," 6,000.00 "
600,Wolfoo In Arabic," 676,000.00 "," 64,357,817.00 ", 205.00 ,Saudi Arabia (SA),general,2021," 8,000.00 "," 6,634,169.00 "," 2,490.00 "," 14,900.00 ", -   , -   , -   , -   , -   , -   ," 129,449,666.00 "," 104,815,393.00 "," 39,723,544.00 ", -   , -   , -   , -   , -   , -   ," 361,000.00 "," 212,000.00 "," 103,000.00 "
601,A0zooz A \ عيزوز," 670,000.00 "," 69,015,253.00 ", 694.00 ,Saudi Arabia (SA),Gaming,2012, -   ," 110,038.00 ", 41.00 , 247.00 , -   ," 12,669,677.00 "," 5,273,529.00 "," 11,435,348.00 "," 8,926,624.00 "," 10,897,263.00 "," 7,196,188.00 "," 7,608,476.00 "," 5,008,148.00 ", -   ," 238,477.00 "," 61,637.00 "," 111,886.00 "," 69,000.00 "," 78,000.00 "," 41,000.00 "," 41,000.00 "," 29,000.00 "
602,شوارع أمريكا," 669,482.00 "," 182,374,850.00 ", 322.00 ,Saudi Arabia (SA),Comedy,2015, (840.00)," 90,060.00 ", 33.00 , 202.00 ," 24,018,123.00 "," 84,602,016.00 "," 108,620,139.00 "," 182,374,850.00 ", -   , -   , -   , -   , -   ," 107,240.00 "," 317,731.00 "," 424,971.00 "," 669,482.00 ", -   , -   , -   , -   , -   
603,Amal Elmziryahi," 669,000.00 "," 99,863,217.00 ", 703.00 ,Saudi Arabia (SA),People & Blogs,2008, -   ," 28,528.00 ", 10.00 , 64.00 ," 47,675,565.00 "," 18,793,396.00 "," 12,054,900.00 "," 7,381,490.00 "," 2,253,054.00 "," 7,820,352.00 "," 2,226,305.00 "," 1,123,920.00 "," 534,235.00 "," 269,037.00 "," 139,278.00 "," 108,129.00 "," 65,556.00 "," 16,000.00 "," 59,000.00 "," 10,000.00 "," 3,000.00 "," 1,000.00 "
604,الحصرية Alhasria," 668,000.00 "," 48,929.00 ", 142.00 ,Saudi Arabia (SA),People & Blogs,2011, -   , 996.00 , -   , 2.00 , -   , -   ," 90,231,560.00 "," 88,956,751.00 "," 1,238,230.00 "," 5,822,208.00 "," 2,023,655.00 "," 4,436,386.00 "," 5,873,587.00 ", -   , -   ," 257,914.00 "," 128,086.00 "," 48,000.00 "," 166,000.00 "," 67,000.00 "," 6,000.00 "," 5,000.00 "
605,روكي Roke," 666,000.00 "," 129,327,085.00 ", 8.00 ,Saudi Arabia (SA),Entertainment,2017, -   ," 14,490.00 ", 5.00 , 32.00 , -   , -   , -   , -   , -   ," 13,788,530.00 "," 104,241,307.00 "," 13,172,628.00 "," 1,875,380.00 ", -   , -   , -   , -   , -   ," 125,000.00 "," 490,000.00 "," 32,000.00 "," 19,000.00 "
606,Alaa Alkhathlan," 663,000.00 "," 59,032,261.00 ", 438.00 ,Saudi Arabia (SA),People & Blogs,2012, -   ," 58,649.00 ", 21.00 , 131.00 ," 8,674,613.00 "," 12,065,716.00 "," 11,106,249.00 "," 8,547,208.00 "," 7,329,009.00 "," 6,074,082.00 "," 2,952,761.00 "," 1,336,318.00 "," 946,305.00 "," 150,687.00 "," 168,531.00 "," 152,030.00 "," 89,752.00 "," 55,000.00 "," 37,000.00 "," 11,000.00 "," 1,000.00 "," 2,000.00 "
